codigo,descricao
A19.8,Outras Tuberculoses Miliares
A19.9,Tuberculose Miliar Não Especificada
A20,Peste
A20.0,Peste Bubônica
A20.1,Peste Celulocutânea
A20.2,Peste Pneumônica
A20.3,Peste Meníngea
A20.7,Peste Septicêmica
A20.8,Outras Formas de Peste
A20.9,"Peste, Forma Não Especificada"
A21,Tularemia
A21.0,Tularemia Ulceroglandular
A21.1,Tularemia Oculoglandular
A21.2,Tularemia Pulmonar
A21.3,Tularemia Gastrointestinal
A21.7,Tularemia Generalizada
A21.8,Outras Formas de Tularemia
A21.9,"Tularemia, Forma Não Especificada"
A22,Carbúnculo
A22.0,Carbúnculo Cutâneo
A22.1,Carbúnculo Pulmonar
A22.2,Carbúnculo Gastrointestinal
A22.7,Septicemia Carbunculosa
A22.8,Outras Formas de Carbúnculo
A22.9,"Carbúnculo, Forma Não Especificada"
A23,Brucelose
A23.0,Brucelose Por Brucella Melitensis
A23.1,Brucelose Por Brucella Abortus
A23.2,Brucelose Por Brucella Suis
A23.3,Brucelose Por Brucella Canis
A23.8,Outras Bruceloses
A23.9,Brucelose Não Especificada
A24,Mormo e Melioidose
A24.0,Mormo
A24.1,Melioidose Aguda e Fulminante
A24.2,Melioidose Subaguda e Crônica
A24.3,Outras Melioidoses
A24.4,Melioidose Não Especificada
A25,Febres Transmitidas Por Mordedura de Rato
A25.0,Espirilose
A25.1,Estreptobacilose
A25.9,"Febre Transmitida Por Mordedura de Rato, Tipo Não Especificado"
A26,Erisipelóide
A26.0,Erisipelóide Cutâneo
A26.7,Septicemia Por Erysipelothrix
A26.8,Outras Formas de Erisipelóide
A26.9,Erisipelóide Não Especificado
A27,Leptospirose
A27.0,Leptopirose Icterohemorrágica
A27.8,Outras Formas de Leptospirose
A27.9,Leptospirose Não Especificada
A28,Outras Doenças Bacterianas Zoonóticas Não Classificadas em Outra Parte
A28.0,Pasteurelose
A28.1,Doença Por Arranhadura do Gato
A28.2,Yersiniose Extra-intestinal
A28.8,Outras Doenças Bacterianas Zoonóticas Especificadas Não Classificadas em Outra Parte
A28.9,Doença Bacteriana Zoonótica Não Especificada
A30,Hanseníase (doença de Hansen) (lepra)
A30.0,Hanseníase (lepra) Indeterminada
A30.1,Hanseníase (lepra) Tuberculóide
A30.2,Hanseníase (lepra) Tuberculóide Borderline
A30.3,Hanseníase (lepra) Dimorfa
A30.4,Hanseníase (lepra) Lepromatosa Borderline
A30.5,Hanseníase (lepra) Lepromatosa
A30.8,Outras Formas de Hanseníase (lepra)
A30.9,Hanseníase (lepra) Não Especificada
A31,Infecções Devidas a Outras Micobactérias
A31.0,Infecção Pulmonar Micobacteriana
A31.1,Infecção Cutânea Micobacteriana
A31.8,Outras Infecções Micobacterianas
A31.9,Infecção Micobacteriana Não Especificada
A32,Listeriose (listeríase)
A32.0,Listeriose Cutânea
A32.1,Meningite e Meningoencefalite Por Listéria
A32.7,Septicemia Listeriótica
A32.8,Outras Formas de Listeriose
A32.9,Listeriose Não Especificada
A33,Tétano do Recém-nascido (neonatal)
A34,Tétano Obstétrico
A35,Outros Tipos de Tétano
A36,Difteria
A36.0,Difteria Faríngea
A36.1,Difteria Nasofaríngea
A36.2,Difteria Laríngea
A36.3,Difteria Cutânea
A36.8,Outras Formas de Difteria
A36.9,Difteria Não Especificada
A37,Coqueluche
A37.0,Coqueluche Por Bordetella Pertussis
A37.1,Coqueluche Por Bordetella Parapertussis
A37.8,Coqueluche Por Outras Espécies da Bordetella
A37.9,Coqueluche Não Especificada
A38,Escarlatina
A39,Infecção Meningogócica
A39.0,Meningite Meningocócica
A39.1,Síndrome de Waterhouse-Friderichsen
A39.2,Meningococcemia Aguda
A39.3,Meningococcemia Crônica
A39.4,Meningococcemia Não Especificada
A39.5,Cardite Por Meningococos
A39.8,Outras Infecções Por Meningococos
A39.9,Infecção Meningocócica Não Especificada
A40,Septicemia Estreptocócica
A40.0,Septicemia Por Streptococcus do Grupo A
A40.1,Septicemia Por Streptococcus do Grupo B
A40.2,Septicemia Por Streptococcus do Grupo D
A40.3,Septicemia Por Streptococcus Pneumonia
A40.8,Outras Septicemias Estreptocócicas
A40.9,Septicemia Estreptocócica Não Especificada
A41,Outras Septicemias
A41.0,Septicemia Por Staphylococcus Aureus
A41.1,Septicemia Por Outros Estafilococos Especificados
A41.2,Septicemia Por Estafilococos Não Especificados
A41.3,Septicemia Por Haemophilus Influenzae
A41.4,Septicemia Por Anaeróbios
A41.5,Septicemia Por Outros Microorganismos Gram-negativos
A41.8,Outras Septicemias Especificadas
A41.9,Septicemia Não Especificada
A42,Actinomicose
A42.0,Actinomicose Pulmonar
A42.1,Actinomicose Abdominal
A42.2,Actinomicose Cervicofacial
A42.7,Septicemia Actinomicótica
A42.8,Outras Formas de Actinomicose
A42.9,Actinomicose Não Especificada
A43,Nocardiose
A43.0,Nocardiose Pulmonar
A43.1,Nocardiose Cutânea
A43.8,Outras Formas de Nocardiose
A43.9,Nocardiose Não Especificada
A44,Bartonelose
A44.0,Bartonelose Sistêmica
A44.1,Bartonelose Cutânea e Cutâneo-mucosa
A44.8,Outras Formas de Bartonelose
A44.9,Bartonelose Não Especificada
A46,Erisipela
A48,Outras Doenças Bacterianas Não Classificadas em Outra Parte
A48.0,Gangrena Gasosa
A48.1,Doença Dos Legionários
A48.2,Doença Dos Legionários Não-pneumônica (febre de Pontiac)
A48.3,Síndrome do Choque Tóxico
A48.4,Febre Purpúrica do Brasil
A48.8,Outras Doenças Bacterianas Especificadas
A49,Infecção Bacteriana de Localização Não Especificada
A49.0,Infecção Estafilocócica de Localização Não Especificada
A49.1,Infecção Estreptocócica de Localização Não Especificada
A49.2,Infecção Por Haemophilus Influenzae de Localização Não Especificada
A49.3,Infecção Por Mycoplasma de Localização Não Especificada
A49.8,Outras Infecções Bacterianas de Localização Não Especificada
A49.9,Infecção Bacteriana Não Especificada
A50,Sífilis Congênita
A50.0,Sífilis Congênita Precoce Sintomática
A50.1,"Sífilis Congênita Precoce, Forma Latente"
A50.2,Sífilis Congênita Precoce Não Especificada
A50.3,Oculopatia Sifilítica Congênita Tardia
A50.4,Neurossífilis Congênita Tardia (neurossífilis Juvenil)
A50.5,Outras Formas Tardias e Sintomáticas da Sífilis Congênita
A50.6,Sífilis Congênita Tardia Latente
A50.7,Sífilis Congênita Tardia Não Especificada
A50.9,Sífilis Congênita Não Especificada
A51,Sífilis Precoce
A51.0,Sífilis Genital Primária
A51.1,Sífilis Anal Primária
A51.2,Sífilis Primária de Outras Localizações
A51.3,Sífilis Secundária da Pele e Das Mucosas
A51.4,Outras Formas de Sífilis Secundária
A51.5,Sífilis Precoce Latente
A51.9,Sífilis Precoce Não Especificada
A52,Sífilis Tardia
A52.0,Sífilis Cardiovascular
A52.1,Neurossífilis Sintomática
A52.2,Neurossífilis Assintomática
A52.3,Neurossífilis Não Especificada
A52.7,Outras Formas de Sífilis Tardia Sintomática
A52.8,Sífilis Tardia Latente
A52.9,Sífilis Tardia Não Especificada
A53,Outras Formas e as Não Especificadas da Sífilis
A53.0,"Sífilis Latente, Não Especificada se Recente ou Tardia"
A53.9,Sífilis Não Especificada
A54,Infecção Gonocócica
A54.0,"Infecção Gonocócica do Trato Geniturinário Inferior, Sem Abscesso Periuretral ou Das Glândulas Acessórias"
A54.1,"Infecção Gonocócica do Trato Geniturinário Inferior, Com Abscesso Periuretral ou Das Glândulas Acessórias"
A54.2,Pelviperitonite Gonocócica e Outras Infecções Geniturinárias Gonocócicas
A54.3,Infecção Gonocócica do Olho
A54.4,Infecção Gonocócica do Sistema Músculo-esquelético
A54.5,Faringite Gonocócica
A54.6,Infecção Gonocócica do Ânus ou do Reto
A54.8,Outras Infecções Gonocócicas
A54.9,Infecção Gonocócica Não Especificada
A55,Linfogranuloma (venéreo) Por Clamídia
A56,Outras Infecções Causadas Por Clamídias Transmitidas Por Via Sexual
A56.0,Infecções Por Clamídias do Trato Geniturinário Inferior
A56.1,"Infecção Por Clamídias, Pelviperitonial e de Outros Órgãos Geniturinários"
A56.2,"Infecção Por Clamídias do Trato Geniturinário, Localização Não Especificada"
A56.3,Infecção do Ânus e do Reto Por Clamídias
A56.4,Infecção da Faringe Por Clamídias
A56.8,"Infecção Por Clamídias Transmitida Por Via Sexual, de Outras Localizações"
A57,Cancro Mole
A58,Granuloma Inguinal
A59,Tricomoníase
A59.0,Tricomoníase Urogenital
A59.8,Outras Localizações de Tricomoníase
A59.9,Tricomoníase Não Especificada
A60,Infecções Anogenitais Pelo Vírus do Herpes (herpes Simples)
A60.0,Infecção Dos Órgãos Genitais e do Trato Geniturinário Pelo Vírus do Herpes
A60.1,Infecção da Margem Cutânea do Ânus e do Reto Pelo Vírus do Herpes
A60.9,Infecção Anogenital Não Especificada Pelo Vírus do Herpes
A63,"Outras Doenças de Transmissão Predominantemente Sexual, Não Classificadas em Outra Parte"
A63.0,Verrugas Anogenitais (venéreas)
A63.8,Outras Doenças Especificadas de Transmissão Predominantemente Sexual
A64,"Doenças Sexualmente Transmitidas, Não Especificadas"
A65,Sífilis Não-venérea
A66,Bouba
A66.0,Lesões Iniciais da Bouba
A66.1,Papilomas Múltiplos e Bouba Plantar Úmida (cravo de Bouba)
A66.2,Outras Lesões Cutâneas Precoces da Bouba
A66.3,Hiperceratose Devida a Bouba
A66.4,Gomas e Úlceras Devidas à Bouba
A66.5,Gangosa
A66.6,Lesões Osteoarticulares Devidas à Bouba
A66.7,Outras Manifestações da Bouba
A66.8,Bouba Latente
A66.9,Bouba Não Especificada
A67,Pinta (carate)
A67.0,Lesões Primárias da Pinta
A67.1,Lesões Intermediárias da Pinta
A67.2,Lesões Tardias da Pinta
A67.3,Lesões Mistas da Pinta
A67.9,Pinta Não Especificada
A68,Febres Recorrentes (Borrelioses)
A68.0,Febre Recorrente Transmitida Por Piolhos
A68.1,Febre Recorrente Transmitida Por Carrapatos
A68.9,Febre Recorrente Não Especificada
A69,Outras Infecções Por Espiroquetas
A69.0,Estomatite Ulcerativa Necrotizante
A69.1,Outras Infecções de Vincent
A69.2,Doença de Lyme
A69.8,Outras Infecções Especificadas Por Espiroquetas
A69.9,"Infecção Por Espiroqueta, Não Especificada"
A70,Infecções Causadas Por Clamídia Psittaci
A71,Tracoma
A71.0,Fase Inicial do Tracoma
A71.1,Fase Ativa do Tracoma
A71.9,Tracoma Não Especificado
A74,Outras Doenças Causadas Por Clamídias
A74.0,Conjuntivite Causada Por Clamídias
A74.8,Outras Doenças Causadas Por Clamídias
A74.9,Infecção Causada Por Clamídias Não Especificada
A75,Tifo Exantemático
A75.0,Tifo Epidêmico Transmitido Por Piolhos Devido a Rickettsia Prowazekii
A75.1,Tifo Recrudescente (doença de Brill)
A75.2,Tifo Por Rickettsia Typhi
A75.3,Tifo Por Rickettsia Tsutsugamuchi
A75.9,Tifo Não Especificado
A77,Febre Maculosa (rickettsioses Transmitidas Por Carrapatos)
A77.0,Febre Maculosa Por Rickettsia Richettsii
A77.1,Febre Maculosa Por Rickettsia Conorii
A77.2,Febre Maculosa Devida à Rickettsia Siberica
A77.3,Febre Maculosa Devida à Rickettsia Australis
A77.8,Outras Febres Maculosas
A77.9,Febre Maculosa Não Especificada
A78,Febre Q
A79,Outras Rickettsioses
A79.0,Febre Das Trincheiras
A79.1,Rickettsiose Variceliforme Devida à Rickettsia Akari
A79.8,Outros Tipos de Rickettsioses Especificadas
A79.9,Rickettsiose Não Especificada
A80,Poliomielite Aguda
A80.0,"Poliomielite Paralítica Aguda, Associada ao Vírus Vacinal"
A80.1,"Poliomielite Paralítica Aguda, Vírus Selvagem Importado"
A80.2,"Poliomielite Paralítica Aguda, Vírus Selvagem Indígena"
A80.3,"Poliomielites Paralíticas Agudas, Outras e Não Especificadas"
A80.4,Poliomielite Aguda Não-paralítica
A80.9,Poliomielite Aguda Não Especificada
A81,Infecções Por Vírus Atípicos do Sistema Nervoso Central
A81.0,Doença de Creutzfeldt-Jakob
A81.1,Panencefalite Esclerosante Subaguda
A81.2,Leucoencefalopatia Multifocal Progressiva
A81.8,Outras Infecções Por Vírus Atípicos do Sistema Nervoso Central
A81.9,Infecção Não Especificada do Sistema Nervosos Central Por Vírus Atípicos
A82,Raiva
A82.0,Raiva Silvestre
A82.1,Raiva Urbana
A82.9,Raiva Não Especificada
A83,Encefalite Por Vírus Transmitidos Por Mosquitos
A83.0,Encefalite Japonesa
A83.1,Encefalite Eqüina Ocidental
A83.2,Encefalite Eqüina Oriental
A83.3,Encefalite de St. Louis
A83.4,Encefalite Australiana
A83.5,Encefalite da Califórnia
A83.6,Doença Pelo Vírus de Rocio
A83.8,Outras Encefalites Por Vírus Transmitidas Por Mosquitos
A83.9,Encefalite Não Especificada Por Vírus Transmitida Por Mosquitos
A84,Encefalite Por Vírus Transmitido Por Carrapatos
A84.0,Encefalite da Taiga (encefalite Vernoestival Russa)
A84.1,Encefalite da Europa Central Transmitida Por Carrapatos
A84.8,Outras Encefalites Por Vírus Transmitidas Por Carrapatos
A84.9,Encefalite Não Especificada Por Vírus Transmitida Por Carrapatos
A85,"Outras Encefalites Virais, Não Classificadas em Outra Parte"
A85.0,Encefalite Por Enterovírus
A85.1,Encefalite Por Adenovírus
A85.2,"Encefalite Por Vírus Transmitido Por Artrópodes, Não Especificada"
A85.8,Outras Encefalites Virais Especificadas
A86,"Encefalite Viral, Não Especificada"
A87,Meningite Viral
A87.0,Meningite Por Enterovírus
A87.1,Meningite Por Adenovírus
A87.2,Coriomeningite Linfocitária
A87.8,Outras Meningites Virais
A87.9,Meningite Viral Não Especificada
A88,Outras Infecções Virais do Sistema Nervoso Central Não Classificadas em Outra Parte
A88.0,Febre Exantemática Por Enterovírus (exantema de Boston)
A88.1,Vertigem Epidêmica
A88.8,Outras Infecções Virais Especificadas do Sistema Nervoso Central
A89,Infecções Virais Não Especificadas do Sistema Nervoso Central
A90,Dengue (dengue Clássico)
A91,Febre Hemorrágica Devida ao Vírus do Dengue
A92,Outras Febres Virais Transmitidas Por Mosquitos
A92.0,Febre de Chikungunya
A92.1,Febre de O'nyong-nyong
A92.2,Febre Eqüina Venezuelana
A92.3,Infecção Pelo Vírus West Nile
A92.4,Febre do Vale do Rift
A92.8,Outras Febres Virais Especificadas Transmitidas Por Mosquitos
A92.9,"Febre Viral Transmitida Por Mosquitos, Não Especificada"
A93,Outras Febres Por Vírus Transmitidas Por Artrópodes Não Classificadas em Outra Parte
A93.0,Febre de Oropouche
A93.1,Febre Por Flebótomos
A93.2,Febre do Colorado Transmitida Por Carrapatos
A93.8,Outras Febres Virais Especificadas Transmitidas Por Artrópodes
A94,"Febre Viral Transmitida Por Artrópodes, Não Especificada"
A95,Febre Amarela
A95.0,Febre Amarela Silvestre
A95.1,Febre Amarela Urbana
A95.9,Febre Amarela Não Especificada
A96,Febre Hemorrágica Por Arenavírus
A96.0,Febre Hemorrágica de Junin
A96.1,Febre Hemorrágica de Machupo
A96.2,Febre de Lassa
A96.8,Outras Febres Hemorrágicas Por Arenavírus
A96.9,"Febre Hemorrágica Por Arenavírus, Não Especificada"
A98,"Outras Febres Hemorrágicas Por Vírus, Não Classificadas em Outra Parte"
A98.0,Febre Hemorrágica da Criméia (do Congo)
A98.1,Febre Hemorrágica de Omsk
A98.2,Doença da Floresta de Kyasanur
A98.3,Doença de Marburg
A98.4,Doença Pelo Vírus Ebola
A98.5,Febre Hemorrágica Com Síndrome Renal
A98.8,Outras Febres Hemorrágicas Especificadas Por Vírus
A99,Febres Hemorrágicas Virais Não Especificadas
B00,Infecções Pelo Vírus do Herpes (herpes Simples)
B00.0,Eczema Herpético
B00.1,Dermatite Vesicular Devido ao Vírus do Herpes
B00.2,Gengivoestomatite e Faringoamigdalite Devida ao Vírus do Herpes
B00.3,Meningite Devida ao Vírus do Herpes
B00.4,Encefalite Devida ao Vírus do Herpes
B00.5,Afecções Oculares Devidas ao Vírus do Herpes
B00.7,Doença Disseminada Devida ao Vírus do Herpes
B00.8,Outras Formas de Infecção Devida ao Vírus do Herpes
B00.9,Infecção Não Especificada Devida ao Vírus do Herpes
B01,Varicela (Catapora)
B01.0,Meningite Por Varicela
B01.1,Encefalite Por Varicela
B01.2,Pneumopatia Varicelosa
B01.8,Varicela Com Outras Complicações
B01.9,Varicela Sem Complicação
B02,Herpes Zoster (Zona)
B02.0,Encefalite Pelo Vírus do Herpes Zoster
B02.1,Meningite Pelo Vírus do Herpes Zoster
B02.2,Herpes Zoster Acompanhado de Outras Manifestações Neurológicas
B02.3,Herpes Zoster Oftálmico
B02.7,Herpes Zoster Disseminado
B02.8,Herpes Zoster Com Outras Complicações
B02.9,Herpes Zoster Sem Complicação
B03,Varíola
B04,Varíola Dos Macacos (Monkeypox)
B05,Sarampo
B05.0,Sarampo Complicado Por Encefalite
B05.1,Sarampo Complicado Por Meningite
B05.2,Sarampo Complicado Por Pneumonia
B05.3,Sarampo Complicado Por Otite Média
B05.4,Sarampo Com Complicações Intestinais
B05.8,Sarampo Com Outras Complicações
B05.9,Sarampo Sem Complicação
B06,Rubéola
B06.0,Rubéola Com Complicações Neurológicas
B06.8,Rubéola Com Outras Complicações
B06.9,Rubéola Sem Complicação
B07,Verrugas de Origem Viral
B08,"Outras Infecções Virais Caracterizadas Por Lesões da Pele e Das Membranas Mucosas, Não Classificadas em Outra Parte"
B08.0,Outras Infecções Por Ortopoxvírus
B08.1,Molusco Contagioso
B08.2,Exantema Súbito (sexta Doença)
B08.3,Eritema Infeccioso (quinta Doença)
B08.4,Estomatite Vesicular Devida a Enterovírus Com Exantema
B08.5,Faringite Vesicular Devida a Enterovírus
B08.8,Outras Infecções Virais Especificadas Caracterizadas Por Lesões de Pele e Das Membranas Mucosas
B09,Infecção Viral Não Especificada Caracterizada Por Lesões da Pele e Membranas Mucosas
B15,Hepatite Aguda A
B15.0,Hepatite A Com Coma Hepático
B15.9,Hepatite A Sem Coma Hepático
B16,Hepatite Aguda B
B16.0,"Hepatite Aguda B Com Agente Delta (co-infecção), Com Coma Hepático"
B16.1,"Hepatite Aguda B Com Agente Delta, (co-infecção), Sem Coma Hepático"
B16.2,"Hepatite Aguda B Sem Agente Delta, Com Coma Hepático"
B16.9,Hepatite Aguda B Sem Agente Delta e Sem Coma Hepático
B17,Outras Hepatites Virais Agudas
B17.0,(Super)infecção Delta Aguda de Portador de Hepatite B
B17.1,Hepatite Aguda C
B17.2,Hepatite Aguda E
B17.8,Outras Hepatites Virais Agudas Especificadas
B18,Hepatite Viral Crônica
B18.0,Hepatite Viral Crônica B Com Agente Delta
B18.1,Hepatite Crônica Viral B Sem Agente Delta
B18.2,Hepatite Viral Crônica C
B18.8,Outras Hepatites Crônicas Virais
B18.9,Hepatite Viral Crônica Não Especificada
B19,Hepatite Viral Não Especificada
B19.0,"Hepatite Viral, Não Especificada, Com Coma"
B19.9,"Hepatite Viral, Não Especificada, Sem Coma"
B20,"Doença Pelo Vírus da Imunodeficiência Humana (HIV), Resultando em Doenças Infecciosas e Parasitárias"
B20.0,Doença Pelo HIV Resultando em Infecções Micobacterianas
B20.1,Doença Pelo HIV Resultando em Outras Infecções Bacterianas
B20.2,Doença Pelo HIV Resultando em Doença Citomegálica
B20.3,Doença Pelo HIV Resultando em Outras Infecções Virais
B20.4,Doença Pelo HIV Resultando em Candidíase
B20.5,Doença Pelo HIV Resultando em Outras Micoses
B20.6,Doença Pelo HIV Resultando em Pneumonia Por Pneumocystis Jirovecii
B20.7,Doença Pelo HIV Resultando em Infecções Múltiplas
B20.8,Doença Pelo HIV Resultando em Outras Doenças Infecciosas e Parasitárias
B20.9,Doença Pelo HIV Resultando em Doença Infecciosa ou Parasitária Não Especificada
B21,"Doença Pelo Vírus da Imunodeficiência Humana (HIV), Resultando em Neoplasias Malignas"
B21.0,Doença Pelo HIV Resultando em Sarcoma de Kaposi
B21.1,Doença Pelo HIV Resultando em Linfoma de Burkitt
B21.2,Doença Pelo HIV Resultando em Outros Tipos de Linfoma Não-Hodgkin
B21.3,"Doença Pelo HIV Resultando em Outras Neoplasias Malignas Dos Tecidos Linfático, Hematopoético e Correlatos"
B21.7,Doença Pelo HIV Resultando em Múltiplas Neoplasias Malignas
B21.8,Doença Pelo HIV Resultando em Outras Neoplasias Malignas
B21.9,Doença Pelo HIV Resultando em Neoplasia Maligna Não Especificada
B22,Doença Pelo Vírus da Imunodeficiência Humana (HIV) Resultando em Outras Doenças Especificadas
B22.0,Doença Pelo HIV Resultando em Encefalopatia
B22.1,Doença Pelo HIV Resultando em Pneumonite Intersticial Linfática
B22.2,Doença Pelo HIV Resultando em Síndrome de Emaciação
B22.7,Doença Pelo HIV Resultando em Doenças Múltiplas Classificadas em Outra Parte
B23,Doença Pelo Vírus da Imunodeficiência Humana (HIV) Resultando em Outras Doenças
B23.0,Síndrome de Infecção Aguda Pelo HIV
B23.1,Doença Pelo HIV Resultando em Linfadenopatias Generalizadas (persistentes)
B23.2,Doença Pelo HIV Resultando em Anomalias Hematológicas e Imunológicas Não Classificadas em Outra Parte
B23.8,Doença Pelo HIV Resultando em Outra Afecções Especificadas
B24,Doença Pelo Vírus da Imunodeficiência Humana (HIV) Não Especificada
B25,Doença Por Citomegalovírus
B25.0,Pneumonite Por Citomegalovírus
B25.1,Hepatite Por Citomegalovírus
B25.2,Pancreatite Por Citomegalovírus
B25.8,Outras Doenças Por Citomegalovírus
B25.9,Doença Não Especificada Por Citomegalovírus
B26,Caxumba (Parotidite Epidêmica)
B26.0,Orquite Por Caxumba (parotidite Epidêmica)
B26.1,Meningite Por Caxumba (parotidite Epidêmica)
B26.2,Encefalite Por Caxumba (parotidite Epidêmica)
B26.3,Pancreatite Por Caxumba (parotidite Epidêmica)
B26.8,Caxumba (parotidite Epidêmica) Com Outras Complicações
B26.9,Caxumba (parotidite Epidêmica) Sem Complicações
B27,Mononucleose Infecciosa
